OS                           : Linux-5.14.21-150400.24.81_12.0.87-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 13.0.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.36
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/23.9/cuda/12.2
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/23.9/cuda/12.2/bin/nvcc
CUDA Build Version           : 12020
CUDA Driver Version          : 12020
CUDA Runtime Version         : 12020 (linked to CuPy) / 12020 (locally installed)
cuBLAS Version               : (available)
cuFFT Version                : 11008
cuRAND Version               : 10303
cuSOLVER Version             : (11, 5, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (12, 2)
Thrust Version               : 200200
CUB Build Version            : 200200
Jitify Build Version         : <unknown>
cuDNN Build Version          : 8801
cuDNN Version                : 8903
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:C1:00.0
None
Sizes of ptrain and pdot:
[(40000, 46, 46), (40000, 46, 46)]
Loss at truetheta:
6.091615083257977e-13
len(theta) = 584821
len(jac) = 84640000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 169280000 rows and 584821 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  2.094e+03  1.566e+06   1.0e+00  3.6e-01
    80 -4.50269e-02  3.106e+01  4.317e+02   1.5e-02  2.0e-03  7.1e+03  9.2e+00
    90 -4.46495e-02  2.809e+01  3.593e+02   1.3e-02  1.7e-03  7.5e+03  8.9e+00
   100 -4.43165e-02  2.555e+01  3.040e+02   1.2e-02  1.5e-03  7.9e+03  9.7e+00
   110 -4.40549e-02  2.331e+01  2.599e+02   1.1e-02  1.3e-03  8.3e+03  1.0e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   120 -4.39252e-02  2.133e+01  2.239e+02   1.0e-02  1.2e-03  8.7e+03  1.1e+01
   130 -4.39970e-02  1.959e+01  1.947e+02   9.4e-03  1.1e-03  9.0e+03  9.8e+00
   140 -4.42481e-02  1.806e+01  1.707e+02   8.6e-03  1.0e-03  9.4e+03  1.1e+01
   150 -4.46987e-02  1.672e+01  1.512e+02   8.0e-03  9.3e-04  9.7e+03  1.1e+01
   160 -4.53833e-02  1.549e+01  1.343e+02   7.4e-03  8.7e-04  1.0e+04  1.2e+01
   170 -4.62873e-02  1.438e+01  1.202e+02   6.9e-03  8.1e-04  1.0e+04  1.0e+01
   180 -4.73815e-02  1.339e+01  1.085e+02   6.4e-03  7.6e-04  1.1e+04  1.3e+01
   190 -4.87076e-02  1.245e+01  9.804e+01   5.9e-03  7.2e-04  1.1e+04  1.2e+01
   200 -5.02028e-02  1.159e+01  8.894e+01   5.5e-03  6.9e-04  1.1e+04  1.3e+01
   210 -5.18803e-02  1.079e+01  8.089e+01   5.2e-03  6.6e-04  1.1e+04  1.2e+01
   220 -5.37079e-02  1.004e+01  7.383e+01   4.8e-03  6.3e-04  1.2e+04  1.3e+01
   230 -5.56908e-02  9.346e+00  6.751e+01   4.5e-03  6.0e-04  1.2e+04  1.3e+01
   240 -5.78160e-02  8.689e+00  6.184e+01   4.1e-03  5.8e-04  1.2e+04  1.4e+01
   250 -6.01101e-02  8.059e+00  5.661e+01   3.8e-03  5.6e-04  1.2e+04  1.3e+01
   260 -6.25301e-02  7.468e+00  5.187e+01   3.6e-03  5.5e-04  1.3e+04  1.4e+01
   270 -6.50882e-02  6.907e+00  4.749e+01   3.3e-03  5.3e-04  1.3e+04  1.3e+01
   280 -6.77030e-02  6.390e+00  4.353e+01   3.1e-03  5.2e-04  1.3e+04  1.2e+01
   290 -7.03926e-02  5.908e+00  3.989e+01   2.8e-03  5.0e-04  1.3e+04  1.4e+01
   300 -7.31760e-02  5.456e+00  3.652e+01   2.6e-03  4.9e-04  1.4e+04  1.4e+01
   310 -7.58942e-02  5.054e+00  3.355e+01   2.4e-03  4.8e-04  1.4e+04  1.4e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   320 -7.88301e-02  4.658e+00  3.063e+01   2.2e-03  4.7e-04  1.4e+04  1.2e+01
   330 -8.16184e-02  4.315e+00  2.812e+01   2.1e-03  4.6e-04  1.4e+04  1.3e+01
   340 -8.45421e-02  3.985e+00  2.570e+01   1.9e-03  4.4e-04  1.5e+04  1.2e+01
   350 -8.72645e-02  3.704e+00  2.364e+01   1.8e-03  4.3e-04  1.5e+04  1.3e+01
   360 -9.01323e-02  3.432e+00  2.166e+01   1.6e-03  4.2e-04  1.5e+04  1.2e+01
   370 -9.28137e-02  3.198e+00  1.995e+01   1.5e-03  4.1e-04  1.5e+04  1.3e+01
   380 -9.55857e-02  2.975e+00  1.834e+01   1.4e-03  4.0e-04  1.5e+04  1.3e+01
   390 -9.82416e-02  2.777e+00  1.692e+01   1.3e-03  3.9e-04  1.6e+04  1.4e+01
   400 -1.00884e-01  2.594e+00  1.562e+01   1.2e-03  3.8e-04  1.6e+04  1.3e+01
   410 -1.03512e-01  2.424e+00  1.442e+01   1.2e-03  3.7e-04  1.6e+04  1.4e+01
   420 -1.06129e-01  2.267e+00  1.332e+01   1.1e-03  3.6e-04  1.6e+04  1.4e+01
   430 -1.08697e-01  2.123e+00  1.232e+01   1.0e-03  3.6e-04  1.6e+04  1.3e+01
   440 -1.11209e-01  1.991e+00  1.141e+01   9.5e-04  3.5e-04  1.6e+04  1.3e+01
   450 -1.13643e-01  1.871e+00  1.059e+01   8.9e-04  3.4e-04  1.7e+04  1.4e+01
   460 -1.16064e-01  1.759e+00  9.834e+00   8.4e-04  3.3e-04  1.7e+04  1.3e+01
   470 -1.18459e-01  1.654e+00  9.135e+00   7.9e-04  3.2e-04  1.7e+04  1.5e+01
   480 -1.20788e-01  1.557e+00  8.500e+00   7.4e-04  3.2e-04  1.7e+04  1.5e+01
   490 -1.23045e-01  1.469e+00  7.924e+00   7.0e-04  3.1e-04  1.7e+04  1.4e+01
   500 -1.25253e-01  1.386e+00  7.396e+00   6.6e-04  3.0e-04  1.8e+04  1.5e+01
   510 -1.27410e-01  1.309e+00  6.910e+00   6.3e-04  3.0e-04  1.8e+04  1.5e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   520 -1.29569e-01  1.236e+00  6.453e+00   5.9e-04  2.9e-04  1.8e+04  1.4e+01
   530 -1.31633e-01  1.169e+00  6.042e+00   5.6e-04  2.9e-04  1.8e+04  1.6e+01
   540 -1.33739e-01  1.103e+00  5.645e+00   5.3e-04  2.8e-04  1.8e+04  1.5e+01
   550 -1.35758e-01  1.042e+00  5.285e+00   5.0e-04  2.7e-04  1.8e+04  1.7e+01
   560 -1.37780e-01  9.841e-01  4.943e+00   4.7e-04  2.7e-04  1.9e+04  1.3e+01
   570 -1.39686e-01  9.312e-01  4.636e+00   4.4e-04  2.7e-04  1.9e+04  1.4e+01
   580 -1.41579e-01  8.804e-01  4.344e+00   4.2e-04  2.6e-04  1.9e+04  1.4e+01
   590 -1.43425e-01  8.327e-01  4.072e+00   4.0e-04  2.6e-04  1.9e+04  1.4e+01
   600 -1.45257e-01  7.869e-01  3.812e+00   3.8e-04  2.5e-04  1.9e+04  1.3e+01
   610 -1.46943e-01  7.460e-01  3.582e+00   3.6e-04  2.5e-04  1.9e+04  1.7e+01
   620 -1.48677e-01  7.053e-01  3.354e+00   3.4e-04  2.4e-04  2.0e+04  1.3e+01
   630 -1.50272e-01  6.689e-01  3.152e+00   3.2e-04  2.4e-04  2.0e+04  1.6e+01
   640 -1.51806e-01  6.348e-01  2.964e+00   3.0e-04  2.3e-04  2.0e+04  1.5e+01
   650 -1.53355e-01  6.013e-01  2.781e+00   2.9e-04  2.3e-04  2.0e+04  1.6e+01
   660 -1.54767e-01  5.714e-01  2.619e+00   2.7e-04  2.3e-04  2.0e+04  1.5e+01
   670 -1.56114e-01  5.436e-01  2.470e+00   2.6e-04  2.2e-04  2.0e+04  1.6e+01
   680 -1.57408e-01  5.173e-01  2.331e+00   2.5e-04  2.2e-04  2.0e+04  1.7e+01
   690 -1.58689e-01  4.918e-01  2.197e+00   2.3e-04  2.2e-04  2.1e+04  1.5e+01
   700 -1.59874e-01  4.685e-01  2.077e+00   2.2e-04  2.1e-04  2.1e+04  1.8e+01
   710 -1.61081e-01  4.451e-01  1.959e+00   2.1e-04  2.1e-04  2.1e+04  1.7e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   720 -1.62159e-01  4.245e-01  1.857e+00   2.0e-04  2.1e-04  2.1e+04  1.7e+01
   730 -1.63260e-01  4.036e-01  1.755e+00   1.9e-04  2.0e-04  2.1e+04  1.6e+01
   740 -1.64256e-01  3.849e-01  1.665e+00   1.8e-04  2.0e-04  2.1e+04  1.7e+01
   750 -1.65273e-01  3.659e-01  1.575e+00   1.7e-04  2.0e-04  2.2e+04  1.4e+01
   760 -1.66203e-01  3.485e-01  1.495e+00   1.7e-04  2.0e-04  2.2e+04  1.7e+01
   770 -1.67149e-01  3.310e-01  1.415e+00   1.6e-04  2.0e-04  2.2e+04  1.5e+01
   780 -1.67984e-01  3.154e-01  1.346e+00   1.5e-04  1.9e-04  2.2e+04  1.7e+01
   790 -1.68823e-01  2.998e-01  1.278e+00   1.4e-04  1.9e-04  2.2e+04  1.7e+01
   800 -1.69632e-01  2.847e-01  1.214e+00   1.4e-04  1.9e-04  2.2e+04  1.8e+01
   810 -1.70392e-01  2.704e-01  1.154e+00   1.3e-04  1.9e-04  2.2e+04  1.6e+01
   820 -1.71128e-01  2.565e-01  1.096e+00   1.2e-04  1.9e-04  2.2e+04  1.7e+01
   830 -1.71838e-01  2.430e-01  1.041e+00   1.2e-04  1.9e-04  2.3e+04  1.6e+01
   840 -1.72529e-01  2.298e-01  9.871e-01   1.1e-04  1.9e-04  2.3e+04  1.6e+01
   850 -1.73174e-01  2.173e-01  9.370e-01   1.0e-04  1.9e-04  2.3e+04  1.7e+01
   860 -1.73824e-01  2.046e-01  8.864e-01   9.8e-05  1.9e-04  2.3e+04  1.9e+01
   870 -1.74424e-01  1.927e-01  8.393e-01   9.2e-05  1.9e-04  2.3e+04  1.8e+01
   880 -1.74995e-01  1.813e-01  7.939e-01   8.7e-05  1.9e-04  2.3e+04  1.7e+01
   890 -1.75545e-01  1.701e-01  7.493e-01   8.1e-05  1.9e-04  2.3e+04  1.8e+01
   900 -1.76062e-01  1.595e-01  7.066e-01   7.6e-05  1.9e-04  2.4e+04  1.6e+01
   910 -1.76537e-01  1.496e-01  6.665e-01   7.1e-05  1.9e-04  2.4e+04  1.7e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   920 -1.76996e-01  1.399e-01  6.265e-01   6.7e-05  1.9e-04  2.4e+04  1.4e+01
   930 -1.77413e-01  1.309e-01  5.890e-01   6.3e-05  1.9e-04  2.4e+04  1.9e+01
   940 -1.77808e-01  1.222e-01  5.521e-01   5.8e-05  1.9e-04  2.4e+04  1.4e+01
   950 -1.78163e-01  1.143e-01  5.176e-01   5.5e-05  1.9e-04  2.4e+04  1.7e+01
   960 -1.78479e-01  1.070e-01  4.854e-01   5.1e-05  1.9e-04  2.4e+04  1.5e+01
   970 -1.78772e-01  1.000e-01  4.542e-01   4.8e-05  1.9e-04  2.4e+04  1.5e+01
   980 -1.79026e-01  9.381e-02  4.256e-01   4.5e-05  1.8e-04  2.5e+04  1.2e+01
   990 -1.79246e-01  8.823e-02  3.995e-01   4.2e-05  1.8e-04  2.5e+04  1.7e+01
  1000 -1.79444e-01  8.296e-02  3.744e-01   4.0e-05  1.8e-04  2.5e+04  1.3e+01
  1010 -1.79620e-01  7.806e-02  3.507e-01   3.7e-05  1.8e-04  2.5e+04  1.3e+01
  1020 -1.79765e-01  7.378e-02  3.296e-01   3.5e-05  1.8e-04  2.5e+04  1.8e+01
  1030 -1.79894e-01  6.973e-02  3.094e-01   3.3e-05  1.8e-04  2.5e+04  1.5e+01
  1040 -1.80004e-01  6.599e-02  2.906e-01   3.2e-05  1.7e-04  2.5e+04  1.4e+01
  1050 -1.80095e-01  6.263e-02  2.735e-01   3.0e-05  1.7e-04  2.5e+04  1.9e+01
  1060 -1.80172e-01  5.948e-02  2.574e-01   2.8e-05  1.7e-04  2.6e+04  1.7e+01
  1070 -1.80235e-01  5.660e-02  2.426e-01   2.7e-05  1.7e-04  2.6e+04  1.6e+01
  1080 -1.80285e-01  5.393e-02  2.290e-01   2.6e-05  1.6e-04  2.6e+04  2.0e+01
  1090 -1.80324e-01  5.145e-02  2.163e-01   2.5e-05  1.6e-04  2.6e+04  1.5e+01
  1100 -1.80354e-01  4.913e-02  2.046e-01   2.3e-05  1.6e-04  2.6e+04  1.7e+01
  1110 -1.80375e-01  4.697e-02  1.938e-01   2.2e-05  1.6e-04  2.6e+04  1.7e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1120 -1.80387e-01  4.495e-02  1.838e-01   2.1e-05  1.6e-04  2.6e+04  1.9e+01
  1130 -1.80393e-01  4.303e-02  1.746e-01   2.1e-05  1.5e-04  2.6e+04  1.5e+01
  1140 -1.80393e-01  4.122e-02  1.660e-01   2.0e-05  1.5e-04  2.6e+04  1.8e+01
  1150 -1.80388e-01  3.951e-02  1.581e-01   1.9e-05  1.5e-04  2.7e+04  1.6e+01
  1160 -1.80377e-01  3.782e-02  1.506e-01   1.8e-05  1.5e-04  2.7e+04  1.7e+01
  1170 -1.80363e-01  3.625e-02  1.437e-01   1.7e-05  1.5e-04  2.7e+04  1.7e+01
  1180 -1.80345e-01  3.473e-02  1.372e-01   1.7e-05  1.5e-04  2.7e+04  1.7e+01
  1190 -1.80323e-01  3.323e-02  1.310e-01   1.6e-05  1.5e-04  2.7e+04  1.7e+01
  1200 -1.80298e-01  3.174e-02  1.250e-01   1.5e-05  1.4e-04  2.7e+04  1.5e+01
  1210 -1.80271e-01  3.034e-02  1.194e-01   1.4e-05  1.4e-04  2.7e+04  1.7e+01
  1220 -1.80241e-01  2.892e-02  1.140e-01   1.4e-05  1.4e-04  2.7e+04  1.7e+01
  1230 -1.80208e-01  2.755e-02  1.088e-01   1.3e-05  1.4e-04  2.8e+04  1.7e+01
  1240 -1.80174e-01  2.620e-02  1.038e-01   1.3e-05  1.4e-04  2.8e+04  1.7e+01
  1250 -1.80138e-01  2.486e-02  9.885e-02   1.2e-05  1.4e-04  2.8e+04  1.8e+01
  1260 -1.80102e-01  2.361e-02  9.429e-02   1.1e-05  1.4e-04  2.8e+04  1.8e+01
  1270 -1.80063e-01  2.231e-02  8.961e-02   1.1e-05  1.4e-04  2.8e+04  1.4e+01
  1280 -1.80025e-01  2.112e-02  8.536e-02   1.0e-05  1.4e-04  2.8e+04  1.7e+01
  1290 -1.79986e-01  1.994e-02  8.114e-02   9.5e-06  1.4e-04  2.8e+04  1.7e+01
  1300 -1.79947e-01  1.877e-02  7.699e-02   9.0e-06  1.5e-04  2.8e+04  1.8e+01
  1310 -1.79909e-01  1.769e-02  7.315e-02   8.4e-06  1.5e-04  2.8e+04  1.8e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1320 -1.79870e-01  1.660e-02  6.924e-02   7.9e-06  1.5e-04  2.9e+04  1.5e+01
  1330 -1.79829e-01  1.550e-02  6.528e-02   7.4e-06  1.5e-04  2.9e+04  1.9e+01
  1340 -1.79793e-01  1.453e-02  6.175e-02   6.9e-06  1.5e-04  2.9e+04  1.5e+01
  1350 -1.79755e-01  1.355e-02  5.812e-02   6.5e-06  1.5e-04  2.9e+04  1.6e+01
  1360 -1.79722e-01  1.269e-02  5.492e-02   6.1e-06  1.5e-04  2.9e+04  1.6e+01
  1370 -1.79688e-01  1.184e-02  5.168e-02   5.7e-06  1.5e-04  2.9e+04  1.5e+01
  1380 -1.79656e-01  1.105e-02  4.861e-02   5.3e-06  1.5e-04  2.9e+04  1.7e+01
  1390 -1.79625e-01  1.026e-02  4.550e-02   4.9e-06  1.5e-04  2.9e+04  1.4e+01
  1400 -1.79598e-01  9.591e-03  4.277e-02   4.6e-06  1.5e-04  2.9e+04  1.5e+01
  1410 -1.79571e-01  8.929e-03  4.002e-02   4.3e-06  1.5e-04  2.9e+04  1.4e+01
  1420 -1.79547e-01  8.336e-03  3.749e-02   4.0e-06  1.5e-04  3.0e+04  1.4e+01
  1430 -1.79525e-01  7.804e-03  3.517e-02   3.7e-06  1.5e-04  3.0e+04  1.5e+01
  1440 -1.79505e-01  7.315e-03  3.298e-02   3.5e-06  1.5e-04  3.0e+04  1.6e+01
  1450 -1.79486e-01  6.853e-03  3.087e-02   3.3e-06  1.5e-04  3.0e+04  1.4e+01
  1460 -1.79470e-01  6.442e-03  2.895e-02   3.1e-06  1.5e-04  3.0e+04  1.5e+01
  1470 -1.79455e-01  6.065e-03  2.716e-02   2.9e-06  1.5e-04  3.0e+04  1.7e+01
  1480 -1.79442e-01  5.715e-03  2.546e-02   2.7e-06  1.5e-04  3.0e+04  1.6e+01
  1490 -1.79430e-01  5.398e-03  2.391e-02   2.6e-06  1.5e-04  3.0e+04  1.8e+01
  1500 -1.79419e-01  5.105e-03  2.245e-02   2.4e-06  1.4e-04  3.0e+04  1.6e+01
  1510 -1.79410e-01  4.841e-03  2.114e-02   2.3e-06  1.4e-04  3.0e+04  1.5e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1520 -1.79401e-01  4.597e-03  1.992e-02   2.2e-06  1.4e-04  3.1e+04  1.6e+01
  1530 -1.79394e-01  4.374e-03  1.880e-02   2.1e-06  1.4e-04  3.1e+04  1.6e+01
  1540 -1.79387e-01  4.161e-03  1.774e-02   2.0e-06  1.4e-04  3.1e+04  1.4e+01
  1550 -1.79382e-01  3.968e-03  1.678e-02   1.9e-06  1.4e-04  3.1e+04  1.7e+01
  1560 -1.79377e-01  3.783e-03  1.588e-02   1.8e-06  1.4e-04  3.1e+04  1.6e+01
  1570 -1.79372e-01  3.605e-03  1.502e-02   1.7e-06  1.3e-04  3.1e+04  1.6e+01
  1580 -1.79369e-01  3.443e-03  1.426e-02   1.6e-06  1.3e-04  3.1e+04  2.0e+01
  1590 -1.79365e-01  3.285e-03  1.352e-02   1.6e-06  1.3e-04  3.1e+04  1.3e+01
  1600 -1.79362e-01  3.141e-03  1.287e-02   1.5e-06  1.3e-04  3.1e+04  1.6e+01
  1610 -1.79360e-01  3.003e-03  1.226e-02   1.4e-06  1.3e-04  3.1e+04  1.7e+01
  1620 -1.79358e-01  2.871e-03  1.169e-02   1.4e-06  1.3e-04  3.2e+04  1.6e+01
  1630 -1.79356e-01  2.740e-03  1.114e-02   1.3e-06  1.3e-04  3.2e+04  1.8e+01
  1640 -1.79355e-01  2.613e-03  1.061e-02   1.2e-06  1.3e-04  3.2e+04  1.6e+01
  1650 -1.79354e-01  2.491e-03  1.013e-02   1.2e-06  1.3e-04  3.2e+04  2.1e+01
  1660 -1.79353e-01  2.373e-03  9.661e-03   1.1e-06  1.3e-04  3.2e+04  1.8e+01
  1670 -1.79352e-01  2.252e-03  9.198e-03   1.1e-06  1.3e-04  3.2e+04  1.6e+01
  1680 -1.79351e-01  2.141e-03  8.779e-03   1.0e-06  1.3e-04  3.2e+04  1.9e+01
  1685 -1.79351e-01  2.084e-03  8.565e-03   1.0e-06  1.3e-04  3.2e+04  1.7e+01
  1686 -1.79351e-01  2.074e-03  8.527e-03   9.9e-07  1.3e-04  3.2e+04  1.8e+01
  1687 -1.79351e-01  2.057e-03  8.467e-03   9.8e-07  1.3e-04  3.2e+04  1.9e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1688 -1.79351e-01  2.048e-03  8.432e-03   9.8e-07  1.3e-04  3.2e+04  1.6e+01
  1689 -1.79351e-01  2.038e-03  8.396e-03   9.7e-07  1.3e-04  3.2e+04  1.8e+01
  1690 -1.79351e-01  2.025e-03  8.348e-03   9.7e-07  1.3e-04  3.2e+04  1.8e+01
  1691 -1.79351e-01  2.015e-03  8.311e-03   9.6e-07  1.3e-04  3.2e+04  1.7e+01
  1692 -1.79351e-01  2.005e-03  8.275e-03   9.6e-07  1.3e-04  3.2e+04  2.1e+01
  1693 -1.79351e-01  1.992e-03  8.224e-03   9.5e-07  1.3e-04  3.2e+04  1.5e+01
  1694 -1.79351e-01  1.980e-03  8.179e-03   9.5e-07  1.3e-04  3.2e+04  1.6e+01
  1695 -1.79351e-01  1.969e-03  8.140e-03   9.4e-07  1.3e-04  3.2e+04  1.8e+01
  1696 -1.79351e-01  1.959e-03  8.103e-03   9.4e-07  1.3e-04  3.2e+04  1.7e+01
  1697 -1.79351e-01  1.951e-03  8.075e-03   9.3e-07  1.3e-04  3.2e+04  1.9e+01
  1698 -1.79351e-01  1.938e-03  8.028e-03   9.3e-07  1.3e-04  3.2e+04  1.8e+01
  1699 -1.79351e-01  1.922e-03  7.967e-03   9.2e-07  1.3e-04  3.2e+04  1.4e+01
  1700 -1.79351e-01  1.914e-03  7.938e-03   9.1e-07  1.3e-04  3.2e+04  1.9e+01
  1701 -1.79351e-01  1.905e-03  7.905e-03   9.1e-07  1.3e-04  3.2e+04  1.8e+01
 
LSMR finished
Ax - b is small enough, given atol, btol                  
istop =       1    normr = 1.9e-03
    normA = 3.2e+04    normAr = 7.9e-03
itn   =    1701    condA = 1.8e+01
    normx = 5.8e+00
  1701 -1.79351e-01   1.905e-03  7.905e-03
   9.1e-07  1.3e-04   3.2e+04  1.8e+01
loss = 3.628131174063506e-06
